iid,title,genres
344,Toy Story (1995),Animation|Children's|Comedy
345,Jumanji (1995),Adventure|Children's|Fantasy
1843,Grumpier Old Men (1995),Comedy|Romance
1463,Waiting to Exhale (1995),Comedy|Drama
1464,Father of the Bride Part II (1995),Comedy
144,Heat (1995),Action|Crime|Thriller
1518,Sabrina (1995),Comedy|Romance
1123,Tom and Huck (1995),Adventure|Children's
2432,Sudden Death (1995),Action
1047,GoldenEye (1995),Action|Adventure|Thriller
398,"American President, The (1995)",Comedy|Drama|Romance
2422,Dracula: Dead and Loving It (1995),Comedy|Horror
2752,Balto (1995),Animation|Children's
2048,Nixon (1995),Drama
1748,Cutthroat Island (1995),Action|Adventure|Romance
400,Casino (1995),Drama|Thriller
903,Sense and Sensibility (1995),Drama|Romance
904,Four Rooms (1995),Thriller
1483,Ace Ventura: When Nature Calls (1995),Comedy
2051,Money Train (1995),Action
95,Get Shorty (1995),Action|Comedy|Drama
919,Copycat (1995),Crime|Drama|Thriller
2383,Assassins (1995),Thriller
1219,Powder (1995),Drama|Sci-Fi
604,Leaving Las Vegas (1995),Drama|Romance
2827,Othello (1995),Drama
2384,Now and Then (1995),Drama
1264,Persuasion (1995),Romance
420,"City of Lost Children, The (1995)",Adventure|Sci-Fi
2062,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
1802,Dangerous Minds (1995),Drama
435,Twelve Monkeys (1995),Drama|Sci-Fi
436,Babe (1995),Children's|Comedy|Drama
932,Carrington (1995),Drama|Romance
211,Dead Man Walking (1995),Drama
3054,It Takes Two (1995),Comedy
438,Clueless (1995),Comedy|Romance
3218,"Cry, the Beloved Country (1995)",Drama
1378,Richard III (1995),Drama|War
1645,Dead Presidents (1995),Action|Crime|Drama
1840,Restoration (1995),Drama
1752,Mortal Kombat (1995),Action|Adventure
451,To Die For (1995),Comedy|Drama
1803,How to Make an American Quilt (1995),Drama|Romance
217,Seven (Se7en) (1995),Crime|Thriller
952,Pocahontas (1995),Animation|Children's|Musical|Romance
224,"Usual Suspects, The (1995)",Crime|Thriller
454,Mighty Aphrodite (1995),Comedy
3385,Lamerica (1994),Drama
2072,"Big Green, The (1995)",Children's|Comedy
966,Georgia (1995),Drama
3260,Kids of the Round Table (1995),Adventure|Children's|Fantasy
1957,Home for the Holidays (1995),Drama
1500,"Postino, Il (The Postman) (1994)",Drama|Romance
466,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
2726,Eye for an Eye (1996),Drama|Thriller
1724,Mr. Holland's Opus (1995),Drama
2424,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
2102,Two if by Sea (1996),Comedy|Romance
2386,Bio-Dome (1996),Comedy
2426,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
3294,Two Bits (1995),Drama
1841,French Twist (Gazon maudit) (1995),Comedy|Romance
1823,Friday (1995),Comedy
323,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
2427,Fair Game (1995),Action
2480,Kicking and Screaming (1995),Comedy|Drama
1235,"Mis�rables, Les (1995)",Drama|Musical
1812,Bed of Roses (1996),Drama|Romance
3167,Big Bully (1996),Comedy|Drama
481,Screamers (1995),Sci-Fi|Thriller
3010,Nico Icon (1995),Documentary
2082,"Crossing Guard, The (1995)",Drama
1451,"Juror, The (1996)",Drama|Thriller
3011,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
1000,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
2248,Antonia's Line (Antonia) (1995),Drama
2086,Once Upon a Time... When We Were Colored (1995),Drama
3373,Last Summer in the Hamptons (1995),Comedy|Drama
251,Angels and Insects (1995),Drama|Romance
1240,White Squall (1996),Adventure|Drama
2481,Dunston Checks In (1996),Children's|Comedy
252,Black Sheep (1996),Comedy
1948,Nick of Time (1995),Action|Thriller
3221,"Journey of August King, The (1995)",Drama
2306,Mary Reilly (1996),Drama|Thriller
666,Vampire in Brooklyn (1995),Comedy|Romance
1008,Beautiful Girls (1996),Drama
80,Broken Arrow (1996),Action|Thriller
3394,In the Bleak Midwinter (1995),Comedy
1454,"Hate (Haine, La) (1995)",Drama
2964,Shopping (1994),Action|Thriller
2307,Heidi Fleiss: Hollywood Madam (1995),Documentary
805,City Hall (1996),Drama|Thriller
1414,Bottle Rocket (1996),Comedy
1893,Mr. Wrong (1996),Comedy
2665,Unforgettable (1996),Thriller
245,Happy Gilmore (1996),Comedy
1688,"Bridges of Madison County, The (1995)",Drama|Romance
3270,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
1167,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
2778,Catwalk (1995),Documentary
40,Braveheart (1995),Action|Drama|War
503,Taxi Driver (1976),Drama|Thriller
647,Rumble in the Bronx (1995),Action|Adventure|Crime
1041,Before and After (1996),Drama|Mystery
3376,Margaret's Museum (1995),Drama
2939,Anne Frank Remembered (1995),Documentary
1417,"Young Poisoner's Handbook, The (1995)",Crime
2379,If Lucy Fell (1996),Comedy|Romance
2009,"Steal Big, Steal Little (1995)",Comedy
3266,Race the Sun (1996),Drama
2734,"Boys of St. Vincent, The (1993)",Drama
2011,Boomerang (1992),Comedy|Romance
827,Chungking Express (1994),Drama|Mystery|Romance
2012,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
527,Flirting With Disaster (1996),Comedy
829,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
2940,Pie in the Sky (1995),Comedy|Romance
3195,Angela (1995),Drama
2941,Frankie Starlight (1995),Drama|Romance
2291,Jade (1995),Thriller
3340,Nueba Yol (1995),Comedy|Drama
3384,Sonic Outlaws (1995),Documentary
2380,Down Periscope (1996),Comedy
2818,From the Journals of Jean Seberg (1995),Documentary
2620,Man of the Year (1995),Documentary
3196,Target (1995),Action|Drama
1614,Up Close and Personal (1996),Drama|Romance
1353,"Birdcage, The (1996)",Comedy
584,"Brothers McMullen, The (1995)",Comedy
651,Bad Boys (1995),Action
3035,"Amazing Panda Adventure, The (1995)",Adventure|Children's
1428,"Basketball Diaries, The (1995)",Drama
843,"Awfully Big Adventure, An (1995)",Drama
1616,Amateur (1994),Crime|Drama|Thriller
556,Apollo 13 (1995),Drama
